Price,Brand,RAM,SSD_Storage,Color,Processor,OS,Rating
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"79,990",Acer,16GB,512.0,Grey,,Windows,
"45,490",Dell,8GB,,Black,Intel,Windows,4.1
"51,990",HP,8GB,512.0,Silver,Intel,Windows,4.1
"53,990",ASUS,8GB,,Blue,Intel,Windows,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"94,990",Lenovo,16GB,512.0,Grey,Intel,Windows,5.0
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"25,990",Primebook,8GB,,Gray,MediaTek,Android,4.4
,More,,,,,,
"59,990",ASUS,16GB,512.0,Blue,Intel,Windows,4.2
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"78,990",HP,6GB,512.0,Blue,AMD,Windows,4.1
"38,990",Acer,12GB,512.0,Silver,Intel,Windows,3.3
"49,990",HP,8GB,512.0,Silver,Intel,Windows,4.2
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"54,990",HP,16GB,512.0,Silver,AMD,Windows,4.0
267,BKN,,,,,,4.2
,More,,,,,,
"63,990",Apple,8GB,256.0,Silver,,MacOS,4.8
"44,999",Lenovo,8GB,512.0,Silver,AMD,Windows,4.0
"16,990",EBook,4GB,,Black,Celeron,Windows,3.4
"70,490",Dell,16GB,1024.0,Silver,Intel,Windows,3.8
"65,000",Apple,8GB,256.0,Indigo,,MacOS,4.8
"65,990",MSI,16GB,,Gray,AMD,Windows,4.5
"37,490",Unknown,8GB,256.0,,,Windows,5.0
"87,990",Lenovo,24GB,1024.0,Grey,AMD,Windows,3.6
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"58,990",Dell,16GB,512.0,Silver,AMD,Windows,3.5
"79,990",HP,16GB,512.0,Silver,Snapdragon,Windows,4.2
"64,490",HP,16GB,512.0,Silver,Intel,Windows,3.7
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"25,990",Primebook,8GB,,Gray,MediaTek,Android,4.4
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
,More,,,,,,
"41,990",Acer,8GB,256.0,Gray,AMD,Windows,
"63,990",HP,16GB,512.0,Silver,AMD,Windows,4.8
"54,790",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"30,990",ASUS,8GB,128.0,Grey,Intel,Chrome OS,2.7
"50,990",ASUS,16GB,512.0,Black,AMD,Windows,4.2
"79,990",Acer,16GB,512.0,Grey,,Windows,
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"1,10,300",Apple,16GB,512.0,Blue,,MacOS,4.8
"79,490",Dell,6GB,1024.0,Grey,Intel,Windows,4.0
"47,500",HP,,512.0,Silver,AMD,,4.2
"18,990",Lenovo,4GB,,Blue,Intel,Chrome OS,3.9
"77,990",ASUS,4GB,1024.0,Black,AMD,,4.2
"47,490",HP,8GB,512.0,Silver,Intel,,3.0
"64,260",Lenovo,16GB,512.0,Grey,Intel,Windows,4.5
"47,890",HP,DDR5,512.0,Silver,AMD,Windows,
"68,990",HP,24GB,1024.0,Silver,AMD,Windows,4.9
"87,990",Lenovo,24GB,1024.0,Grey,AMD,Windows,3.6
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"65,990",HP,16GB,512.0,Silver,Intel,Windows,3.9
"67,990",ASUS,16GB,512.0,Silver,Intel,Windows,4.4
"82,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"52,690",HP,12GB,512.0,Silver,Intel,Windows,4.2
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
,More,,,,,,
"67,990",HP,4GB,512.0,Silver,AMD,Windows,4.2
"51,990",ASUS,12GB,512.0,Blue,Intel,Windows,4.3
"75,990",ASUS,16GB,1024.0,Silver,AMD,Windows,4.0
"87,989",HP,6GB,512.0,Silver,Intel,Windows,4.2
"67,508",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"79,990",Acer,16GB,512.0,Grey,,Windows,
"81,990",Lenovo,24GB,1024.0,Grey,AMD,Windows,4.1
"54,990",acer,,,Gray,AMD,Windows,4.0
"74,990",HP,16GB,1024.0,Silver,Intel,Windows,3.8
"1,10,290",Apple,16GB,512.0,,,MacOS,4.5
"49,790",acer,RAM,512.0,Gray,AMD,Windows,4.0
"56,990",Lenovo,16GB,512.0,Grey,Intel,Windows,3.7
"47,490",Lenovo,8GB,512.0,Grey,Intel,Windows,4.0
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"82,990",HP,24GB,1024.0,Silver,Intel,Windows,
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"79,990",Acer,16GB,512.0,Grey,,Windows,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"39,990",acer,RAM,512.0,Gray,Intel,Windows,3.7
"1,19,990",HP,8GB,1024.0,Silver,Intel,Windows,4.0
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"78,990",Lenovo,6GB,512.0,Grey,,Windows,4.0
,More,,,,,,
"36,990",ASUS,8GB,128.0,Grey,Intel,Chrome OS,3.7
"1,38,990",HP,32GB,1024.0,Silver,AMD,,3.4
"1,49,990",ASUS,8GB,,Gray,Intel,Windows,4.4
"1,79,857",HP,8GB,1024.0,Black,Intel,Windows,3.9
"49,490",HP,8GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"48,060",HP,8GB,512.0,Silver,AMD,Windows,5.0
"69,990",ASUS,16GB,1024.0,Gold,Intel,Windows,4.4
"39,290",HP,8GB,512.0,Black,Intel,Windows,3.3
"4,82,490",Lenovo,24GB,1024.0,Black,Intel,Windows,5.0
"36,990",Acer,LPDDR4,256.0,Silver,Intel,Windows,3.6
"54,990",ASUS,16GB,512.0,Blue,Intel,Windows,4.2
"66,990",ASUS,16GB,512.0,Silver,Intel,Windows,4.4
"1,05,990",HP,16GB,512.0,Silver,Intel,Windows,3.8
"82,990",HP,24GB,1024.0,Silver,Intel,Windows,
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"79,990",Acer,16GB,512.0,Grey,,Windows,
"2,31,490",Lenovo,8GB,1024.0,Black,Intel,Windows,
"51,500",HP,16GB,512.0,,Intel,Windows,3.7
"69,990",ASUS,16GB,1024.0,Gold,Intel,Windows,4.4
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"52,690",HP,12GB,512.0,Silver,Intel,Windows,4.2
,More,,,,,,
"84,999",HP,,512.0,Grey,Intel,Windows,5.0
"77,990",ASUS,4GB,1024.0,Black,AMD,,4.2
"53,990",HP,,512.0,Silver,Intel,Windows,
"1,59,064",Lenovo,8GB,1024.0,Black,AMD,Windows,3.1
"5,18,880",Alienware,24GB,,,Intel,,
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"2,99,990",ASUS,64GB,,Black,AMD,Windows,3.8
"79,490",Dell,6GB,1024.0,Grey,Intel,Windows,4.0
"65,990",acer,RAM,512.0,Silver,Intel,Windows,3.7
"49,650",Lenovo,8GB,512.0,Grey,Intel,Windows,3.1
"1,19,990",HP,8GB,1024.0,Silver,Intel,Windows,4.0
"49,490",HP,8GB,512.0,Silver,Intel,Windows,4.0
"2,25,000",Lenovo,32GB,1024.0,Black,Intel,Windows,5.0
"4,99,990",ASUS,24GB,,Black,Intel,Windows,
"82,990",HP,24GB,1024.0,Silver,Intel,Windows,
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"2,29,990",ASUS,8GB,,Gray,Intel,Windows,3.2
"1,60,000",HP,16GB,1024.0,,Intel,Windows,4.5
"1,59,064",Lenovo,8GB,1024.0,Black,AMD,Windows,3.1
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"51,990",HP,8GB,512.0,Silver,Intel,Windows,4.1
,More,,,,,,
"1,65,043",HP,16GB,1024.0,Gray,Intel,Windows,
"2,31,490",Lenovo,8GB,1024.0,Black,Intel,Windows,
"1,29,990",Lenovo,32GB,1024.0,Grey,Intel,Windows,4.8
"5,22,990",Alienware,24GB,,,Intel,Windows,4.5
"1,39,990",HP,8GB,1024.0,Black,Intel,Windows,3.9
"79,990",Acer,16GB,512.0,Grey,,Windows,
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"53,990",HP,,512.0,Silver,Intel,Windows,
"1,09,939",Lenovo,16GB,512.0,Grey,Intel,Windows,4.7
"77,770",Lenovo,16GB,512.0,Grey,,Windows,4.0
"66,990",MSI,16GB,,Gray,Intel,Windows,4.3
"1,33,990",Lenovo,8GB,1024.0,Grey,Intel,Windows,5.0
"44,115.",DELL,,256.0,Blue,Intel,,4.0
"4,99,990",ASUS,24GB,,Black,Intel,Windows,4.4
"58,850",acer,16GB,,,Intel,Windows,3.6
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"79,990",Acer,16GB,512.0,Grey,,Windows,
"44,890",DELL,,512.0,Blue,Intel,Windows,3.8
"1,60,000",HP,16GB,1024.0,,Intel,Windows,4.5
"4,99,990",ASUS,24GB,,Black,Intel,Windows,4.4
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"52,690",HP,12GB,512.0,Silver,Intel,Windows,4.2
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
,More,,,,,,
"55,990",Samsung,16GB,512.0,,Intel,,5.0
"83,990",ASUS,16GB,512.0,Silver,Intel,Windows,4.4
"51,850",HP,16GB,512.0,,Intel,,4.3
"49,890",Lenovo,8GB,512.0,Grey,AMD,Windows,3.9
"5,22,990",Alienware,24GB,,,Intel,Windows,4.5
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"1,19,999",acer,DDR7,,Black,AMD,Windows,5.0
"63,890",Lenovo,16GB,512.0,Grey,Intel,Windows,3.7
"28,990",Unknown,8GB,256.0,Silver,,Windows,5.0
"49,990",acer,RAM,512.0,Gray,Intel,Windows,4.1
"54,990",ASUS,16GB,512.0,Blue,Intel,Windows,4.2
"78,990",Lenovo,24GB,1024.0,Grey,Intel,Windows,4.2
"63,850",HP,,512.0,Silver,Intel,,3.0
"47,990",HP,,512.0,Silver,Intel,,1.0
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"72,990",ASUS,4GB,512.0,Black,AMD,Windows,4.2
"43,550",Acer,,512.0,Grey,AMD,Windows,5.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"78,990",Lenovo,6GB,512.0,Grey,,Windows,4.0
,More,,,,,,
"1,29,990",Lenovo,32GB,1024.0,Grey,AMD,,4.0
"63,800",Lenovo,,512.0,Grey,Intel,Windows,3.8
"1,09,939",Lenovo,16GB,512.0,Grey,Intel,Windows,4.7
"79,990",Acer,32GB,1024.0,,AMD,Windows,3.0
"1,59,990",HP,8GB,1024.0,Black,Intel,Windows,4.5
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"79,990",Acer,16GB,512.0,Grey,,Windows,
"4,40,999",acer,DDR7,,Black,Intel,Windows,3.2
"1,99,990",ASUS,8GB,,Gray,Intel,Windows,4.0
"1,29,990",Lenovo,32GB,1024.0,Grey,Intel,Windows,4.8
"38,999",HP,8GB,256.0,Silver,AMD,Windows,2.1
"78,990",HP,4GB,1024.0,Silver,Intel,Windows,4.0
"49,990",acer,,,Gray,Intel,Windows,4.3
"78,800",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"1,89,850",Lenovo,8GB,1024.0,Grey,Intel,Windows,4.1
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"74,990",HP,16GB,1024.0,Silver,Intel,Windows,3.8
"70,550",HP,,512.0,Silver,Intel,Windows,1.5
"61,890",ASUS,16GB,512.0,Silver,Intel,,4.0
"1,99,990",ASUS,8GB,,Gray,Intel,Windows,4.0
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"76,990",HP,16GB,1024.0,Silver,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"51,990",HP,8GB,512.0,Silver,Intel,Windows,4.1
,More,,,,,,
"49,990",acer,RAM,512.0,Gray,Intel,Windows,4.1
"79,990",Acer,32GB,1024.0,,AMD,Windows,3.0
"49,890",Lenovo,8GB,512.0,Grey,AMD,Windows,3.9
"55,990",HP,,512.0,Silver,Intel,Windows,1.0
"90,990",acer,8GB,,Black,Intel,Windows,3.2
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"1,95,000",Lenovo,32GB,1024.0,Grey,Intel,Windows,4.3
"62,490",Dell,16GB,,Black,Intel,Windows,4.0
"1,29,990",Lenovo,32GB,1024.0,Grey,AMD,,4.0
"78,990",HP,4GB,1024.0,Silver,Intel,Windows,4.0
"55,990",Samsung,16GB,512.0,,Intel,,5.0
"42,999",Acer,8GB,512.0,,AMD,Windows,
"1,24,990",ASUS,32GB,1024.0,Blue,Intel,Windows,5.0
"58,990",HP,16GB,512.0,Silver,AMD,Windows,3.9
"79,990",Acer,16GB,512.0,Grey,,Windows,
"67,990",ASUS,16GB,512.0,Silver,Intel,Windows,4.4
"1,645",TABLE,,,,,,4.2
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"54,999",Lenovo,16GB,512.0,Grey,AMD,Windows,3.2
"4,19,990",ASUS,16GB,,Black,AMD,Windows,
"79,999",ASUS,6GB,512.0,Black,Intel,Windows,4.5
,More,,,,,,
"54,999",DELL,,512.0,Black,Intel,Windows,3.7
"1,19,990",ASUS,32GB,,Silver,Intel,Windows,4.3
"65,500",HP,16GB,512.0,Silver,Intel,Windows,2.9
,HP,,512.0,Silver,Intel,Windows,
"58,990",ASUS,16GB,512.0,,Intel,Windows,
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"79,990",Acer,16GB,512.0,Grey,,Windows,
"1,24,990",ASUS,32GB,1024.0,Blue,Intel,Windows,5.0
"67,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.1
"77,770",Lenovo,16GB,512.0,Grey,,Windows,4.0
"79,990",HP,16GB,512.0,Silver,Intel,Windows,5.0
"1,24,990",ASUS,32GB,1024.0,Silver,Intel,Windows,
"38,999",HP,,128.0,,,,3.7
"42,999",Acer,8GB,512.0,,AMD,Windows,
"59,999",Lenovo,16GB,512.0,Grey,AMD,Windows,4.2
"76,990",HP,16GB,1024.0,Silver,Snapdragon,Windows,4.2
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"1,799",COSMUS,,,,,,4.3
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"59,999",Lenovo,16GB,512.0,Grey,AMD,Windows,4.2
"71,990",Acer,6GB,512.0,Gray,Intel,Windows,3.8
"66,999",HP,,512.0,Silver,Intel,Windows,3.6
"38,999",HP,8GB,256.0,Silver,AMD,Windows,2.1
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"78,990",Lenovo,6GB,512.0,Grey,,Windows,4.0
,More,,,,,,
"1,41,990",Lenovo,8GB,1024.0,Grey,AMD,Windows,4.9
"52,890",HP,,,,AMD,,3.7
"1,24,990",ASUS,32GB,1024.0,Silver,Intel,Windows,
"79,990",HP,16GB,512.0,Silver,Intel,Windows,5.0
"62,250",HP,,512.0,Grey,Intel,Windows,3.0
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"52,809",Acer,16GB,512.0,Black,AMD,Windows,3.0
"54,990",ASUS,16GB,512.0,Silver,Intel,Windows,
"71,990",ASUS,16GB,1024.0,Blue,Intel,Windows,4.0
"43,015",Dell,8GB,512.0,Blue,Intel,,4.3
"1,34,990",HP,8GB,1024.0,Black,AMD,Windows,4.5
"48,999",Lenovo,8GB,512.0,Silver,,Windows,2.9
"1,19,990",ASUS,32GB,,Silver,Intel,Windows,4.3
"58,890",HP,,512.0,Silver,AMD,,3.2
"49,990",acer,,,Gray,Intel,Windows,4.3
